part 1: 
demo: 40
real: 3605
part 2: 
(0,1)
(1,1)
(2,4)
(3,8)
(4,15)
(5,20)
(6,30)
(7,40)
(8,51)
(9,63)
(10,81)
(11,98)
(12,120)
(13,138)
(14,159)
(15,180)
(16,209)
(17,235)
(18,262)
(19,290)
(20,317)
(21,358)
(22,386)
(23,434)
(24,460)
(25,520)
(26,543)
(27,608)
(28,640)
(29,708)
(30,739)
(31,801)
(32,840)
(33,910)
(34,952)
(35,1018)
(36,1063)
(37,1141)
(38,1186)
(39,1268)
(40,1325)
(41,1406)
(42,1472)
(43,1545)
(44,1612)
(45,1693)
(46,1760)
(47,1845)
(48,1921)
(49,2011)
(50,2088)
(51,2184)
(52,2254)
(53,2344)
(54,2413)
(55,2514)
(56,2591)
(57,2699)
(58,2785)
(59,2891)
(60,2982)
(61,3087)
(62,3185)
(63,3335)
(64,3446)
(65,3605)
(66,3710)
(67,3870)
(68,3978)
(69,4142)
(70,4215)
(71,4382)
(72,4460)
(73,4630)
(74,4701)
(75,4876)
(76,4950)
(77,5126)
(78,5214)
(79,5383)
(80,5486)
(81,5643)
(82,5762)
(83,5925)
(84,6042)
(85,6206)
(86,6330)
(87,6496)
(88,6624)
(89,6798)
(90,6918)
(91,7098)
(92,7225)
(93,7406)
(94,7546)
(95,7729)
(96,7878)
(97,8060)
(98,8200)
(99,8387)
(100,8528)
(101,8722)
(102,8853)
(103,9051)
(104,9199)
(105,9425)
(106,9559)
(107,9784)
(108,9905)
(109,10140)
(110,10286)
(111,10514)
(112,10673)
(113,10900)
(114,11060)
(115,11294)
(116,11446)
(117,11679)
(118,11824)
(119,12070)
(120,12213)
(121,12465)
(122,12628)
(123,12884)
(124,13058)
(125,13301)
(126,13481)
(127,13702)
(128,13900)
(129,14132)
(130,14337)
(131,14558)
(132,14775)
(133,14997)
(134,15222)
(135,15434)
(136,15665)
(137,15879)
(138,16127)
(139,16315)
(140,16592)
(141,16797)
(142,17105)
(143,17303)
(144,17579)
(145,17764)
(146,18040)
(147,18243)
(148,18525)
(149,18745)
(150,19031)
(151,19251)
(152,19553)
(153,19752)
(154,20084)
(155,20271)
(156,20612)
(157,20795)
(158,21148)
(159,21351)
(160,21692)
(161,21890)
(162,22205)
(163,22424)
(164,22751)
(165,22981)
(166,23296)
(167,23526)
(168,23864)
(169,24098)
(170,24442)
(171,24688)
(172,25030)
(173,25283)
(174,25599)
(175,25857)
(176,26191)
(177,26447)
(178,26788)
(179,27059)
(180,27396)
(181,27669)
(182,28021)
(183,28271)
(184,28606)
(185,28839)
(186,29213)
(187,29445)
(188,29838)
(189,30082)
(190,30465)
(191,30729)
(192,31108)
(193,31376)
(194,31847)
(195,32173)
(196,32662)
(197,32976)
(198,33452)
(199,33768)
(200,34248)
(201,34490)
(202,34934)
(203,35176)
(204,35618)
(205,35838)
(206,36293)
(207,36519)
(208,36977)
(209,37223)
(210,37663)
(211,37933)
(212,38338)
(213,38645)
(214,39070)
(215,39380)
(216,39803)
(217,40121)
(218,40531)
(219,40851)
(220,41272)
(221,41579)
(222,42018)
(223,42330)
(224,42773)
(225,43098)
(226,43545)
(227,43889)
(228,44321)
(229,44641)
(230,45080)
(231,45404)
(232,45858)
(233,46154)
(234,46612)
(235,46944)
(236,47463)
(237,47757)
(238,48263)
(239,48529)
(240,49046)
(241,49366)
(242,49861)
(243,50208)
(244,50694)
(245,51040)
(246,51534)
(247,51869)
(248,52356)
(249,52669)
(250,53179)
(251,53484)
(252,54005)
(253,54349)
(254,54876)
(255,55236)
(256,55730)
(257,56099)
(258,56547)
(259,56952)
(260,57420)
(261,57835)
(262,58278)
(263,58711)
(264,59152)
(265,59598)
(266,60015)
(267,60472)
(268,60890)
(269,61376)
(270,61741)
(271,62283)
(272,62675)
(273,63274)
(274,63648)
(275,64182)
(276,64531)
(277,65062)
(278,65439)
(279,65977)
(280,66390)
(281,66934)
(282,67347)
(283,67910)
(284,68280)
(285,68896)
(286,69244)
(287,69866)
(288,70209)
(289,70850)
(290,71224)
(291,71838)
(292,72203)
(293,72771)
(294,73170)
(295,73754)
(296,74172)
(297,74736)
(298,75151)
(299,75749)
(300,76172)
(301,76778)
(302,77213)
(303,77816)
(304,78256)
(305,78815)
(306,79264)
(307,79851)
(308,80296)
(309,80893)
(310,81359)
(311,81943)
(312,82412)
(313,83020)
(314,83450)
(315,84030)
(316,84427)
(317,85074)
(318,85461)
(319,86139)
(320,86541)
(321,87201)
(322,87638)
(323,88291)
(324,88729)
(325,89521)
(326,90062)
(327,90881)
(328,91404)
(329,92196)
(330,92720)
(331,93516)
(332,93927)
(333,94648)
(334,95054)
(335,95768)
(336,96137)
(337,96872)
(338,97250)
(339,97990)
(340,98394)
(341,99105)
(342,99542)
(343,100195)
(344,100690)
(345,101377)
(346,101880)
(347,102562)
(348,103074)
(349,103728)
(350,104240)
(351,104908)
(352,105402)
(353,106100)
(354,106597)
(355,107302)
(356,107812)
(357,108523)
(358,109062)
(359,109744)
(360,110244)
(361,110935)
(362,111442)
(363,112156)
(364,112617)
(365,113335)
(366,113851)
(367,114663)
(368,115117)
(369,115904)
(370,116315)
(371,117114)
(372,117608)
(373,118370)
(374,118905)
(375,119650)
(376,120182)
(377,120936)
(378,121454)
(379,122195)
(380,122676)
(381,123450)
(382,123917)
(383,124707)
(384,125232)
(385,126030)
(386,126576)
(387,127321)
(388,127879)
(389,128554)
(390,129166)
(391,129870)
(392,130495)
(393,131160)
(394,131809)
(395,132469)
(396,133136)
(397,133758)
(398,134441)
(399,135063)
(400,135787)
(401,136329)
(402,137136)
(403,137715)
(404,138605)
(405,139155)
(406,139947)
(407,140460)
(408,141246)
(409,141797)
(410,142591)
(411,143197)
(412,143999)
(413,144605)
(414,145429)
(415,145970)
(416,146870)
(417,147379)
(418,148282)
(419,148785)
(420,149714)
(421,150259)
(422,151146)
(423,151678)
(424,152499)
(425,153078)
(426,153919)
(427,154525)
(428,155338)
(429,155938)
(430,156796)
(431,157408)
(432,158276)
(433,158900)
(434,159764)
(435,160391)
(436,161193)
(437,161833)
(438,162673)
(439,163307)
(440,164160)
(441,164821)
(442,165652)
(443,166317)
(444,167181)
(445,167791)
(446,168616)
(447,169177)
(448,170097)
(449,170639)
(450,171602)
(451,172162)
(452,173099)
(453,173709)
(454,174636)
(455,175244)
(456,176357)
(457,177113)
(458,178262)
(459,178994)
(460,180102)
(461,180834)
(462,181946)
(463,182526)
(464,183524)
(465,184094)
